こういう感じに、データの先頭に
データ以外の行があった場合
ヘッダ情報とみなしてスルーします。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11	1.00E-11
2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11	2E-11
3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11	3.00E-11
4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11	4E-11
5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11	5.00E-11
6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11	6E-11
7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11	7.00E-11
8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11	8E-11
9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11	9.00E-11
1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10	1E-10
1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10	1.10E-10
1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10	1.2E-10
1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10	1.30E-10
1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10	1.4E-10
1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10	1.50E-10
1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10	1.6E-10
1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10	1.70E-10
1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10	1.8E-10
1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10	1.90E-10
2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10	2E-10
2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10	2.10E-10
2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10	2.2E-10
2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10	2.30E-10
2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10	2.4E-10
2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10	2.50E-10
2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10	2.6E-10
